,saleprice,sqfttotliving,yrbuilt,yrrenovated,bedrooms,zipcode,sqfttotbasement,sqftfinbasement,sqftopenporch,sqftenclosedporch,sqftdeck,heatsystem,bathhalfcount,bath3qtrcount,bathfullcount,condition,sqftgarageattached,bldggrade,finbasementgrade,inadequateparking,township,trafficnoise
197,730000,1300,1961,0,3,98034,0,0,0,0,0,5,1,0,1,4,510,8,0,2,26,0
199,567000,1640,2008,0,3,98014,0,0,1250,0,0,5,1,0,1,3,0,7,0,2,26,0
200,540000,3860,1968,0,4,98023,0,0,70,0,590,5,0,1,2,4,420,8,0,2,21,0
201,806000,2550,1989,0,3,98056,0,0,0,0,0,5,1,0,2,3,590,8,0,2,24,0
202,402600,830,1956,0,2,98168,830,0,0,0,0,2,0,0,1,3,680,6,0,2,23,1
203,430000,2350,2008,0,4,98042,0,0,80,0,0,5,1,0,2,3,460,7,0,0,21,0
204,675000,1970,1965,0,4,98008,1310,640,0,0,150,5,1,1,1,3,0,7,7,0,25,0
205,595000,1540,1970,0,4,98155,1060,480,0,0,0,4,1,0,1,3,0,7,5,2,26,0
206,420000,1420,1933,2019,1,98125,710,710,0,0,0,7,0,0,1,3,0,5,5,0,26,0
207,600000,2820,1967,0,3,98168,1410,1410,0,0,190,6,0,2,1,4,570,7,7,2,23,0
208,565000,740,1950,0,1,98038,600,0,0,0,290,4,0,0,1,4,0,5,0,0,22,0
209,550000,870,1919,0,2,98126,870,0,0,0,0,5,0,0,1,5,0,6,0,0,24,0
210,1430000,3110,1998,0,4,98105,0,0,130,0,290,5,1,0,2,3,0,9,0,2,25,0
211,767000,1240,1947,0,2,98133,730,260,0,100,0,5,0,0,1,3,0,7,6,0,26,0
212,423000,2190,1958,0,3,98146,1160,700,0,0,220,5,0,0,1,3,0,7,6,2,23,0
213,649950,1290,2018,0,3,98117,690,430,10,0,320,7,0,1,1,3,0,8,8,2,25,0
214,761000,1750,1974,0,3,98052,1100,520,0,0,220,5,1,1,1,3,0,8,7,2,25,0
215,1080000,2620,2006,0,4,98029,0,0,100,0,0,5,1,0,2,3,480,9,0,2,24,0
216,479000,1170,1941,0,2,98133,0,0,0,0,200,5,0,0,1,3,0,7,0,2,26,0
217,730000,2090,1950,0,3,98115,1050,810,0,0,0,5,1,0,1,3,0,8,6,0,25,0
218,705000,1770,1979,0,3,98034,730,500,0,0,200,5,0,1,1,3,210,8,7,2,26,0
219,550000,1420,1986,0,2,98006,0,0,0,0,0,5,1,0,2,3,460,8,0,2,24,0
220,650000,913,1936,0,1,98070,399,0,0,0,550,7,0,1,0,5,0,6,0,2,23,0
221,625000,2040,1952,0,3,98108,950,950,0,0,0,5,0,1,1,3,0,7,6,2,24,0
222,580000,2580,1965,0,5,98059,1290,1290,70,0,220,5,0,0,2,5,0,7,6,0,23,0
223,405000,1470,1986,0,3,98023,580,300,0,0,160,5,1,0,2,3,180,7,7,2,21,0
225,500000,2000,1997,0,5,98038,0,0,0,0,0,7,0,1,2,5,520,7,0,0,22,0
226,937000,1680,2009,0,2,98119,570,360,0,0,0,5,2,0,2,3,0,9,8,2,25,0
227,650000,1460,1927,0,4,98115,980,0,0,0,0,5,0,0,2,3,0,7,0,0,25,2
228,360000,2380,1965,0,4,98003,1190,1190,50,0,140,5,0,1,1,3,710,7,7,0,21,0
229,1275000,2070,1965,0,4,98004,700,700,240,0,360,5,0,1,2,4,460,8,8,2,25,0
230,699000,2820,1998,0,4,98022,0,0,0,0,0,5,1,1,1,3,864,9,0,2,20,0
231,620000,1990,1987,0,4,98125,1130,830,0,0,290,4,0,2,1,3,120,7,7,2,26,0
232,1210000,1540,1900,0,3,98112,340,0,110,0,0,5,0,1,1,3,0,8,0,2,25,2
233,550000,1440,1981,0,3,98045,0,0,0,0,200,5,0,1,1,4,0,6,0,2,23,0
234,922500,1040,1914,0,3,98119,610,0,200,0,0,5,0,0,1,3,0,8,0,2,25,0
235,300000,1940,1956,0,3,98198,1140,800,0,0,350,5,0,0,1,3,360,7,6,0,22,0
237,721800,1500,1945,0,3,98105,1000,500,0,0,0,2,0,0,1,3,0,7,4,2,25,2
238,875000,1880,1966,0,4,98133,1040,840,60,0,0,5,0,2,1,5,0,7,7,0,26,0
239,642000,1250,1959,0,3,98008,0,0,0,0,480,5,0,0,1,3,0,6,0,0,25,0
240,408000,1750,1976,0,5,98001,1100,530,0,0,620,5,0,2,1,3,0,7,6,2,21,0
241,397500,1600,1997,0,3,98002,0,0,100,0,100,5,0,1,1,4,440,7,0,2,21,0
243,553000,720,1925,0,2,98126,720,0,0,70,240,5,0,0,1,3,0,6,0,0,24,0
244,825000,1280,1910,1987,2,98122,70,0,80,0,0,5,0,0,2,5,0,7,0,2,25,0
245,1000000,2220,1952,0,4,98155,1280,940,0,0,0,6,0,0,2,3,0,8,7,0,26,0
246,1600000,2620,1993,0,3,98119,760,760,100,0,500,5,1,0,2,3,440,10,9,2,25,0
247,642000,2190,1963,0,3,98034,1420,770,0,0,220,5,1,1,1,3,0,7,6,2,26,0
248,825000,1570,1926,0,4,98115,1060,0,40,30,0,5,0,1,1,4,0,7,0,2,25,2
249,660000,1540,2014,0,3,98117,0,0,0,0,450,1,1,1,1,3,0,8,0,0,25,1
250,1885000,4040,2017,0,4,98118,1040,1040,0,0,330,5,1,0,3,3,500,10,9,0,24,1
251,585000,2240,1964,0,4,98133,1100,1100,0,0,310,5,1,1,1,3,0,7,6,0,26,0
252,1300000,2690,1967,0,4,98033,1540,1150,0,0,290,5,0,2,1,4,620,8,7,2,25,0
253,535000,1340,1948,1980,4,98011,0,0,0,0,0,5,0,0,2,5,0,7,0,2,26,0
254,859000,2510,1967,0,4,98115,1540,920,0,0,300,6,0,2,1,3,0,8,8,0,26,0
255,740000,2110,1903,0,6,98122,900,0,90,0,0,5,0,1,1,3,0,7,0,2,24,0
256,835000,1980,1985,0,3,98027,0,0,60,0,0,5,0,1,1,3,400,8,0,0,24,0
257,261000,1170,1961,0,3,98030,0,0,0,0,0,1,0,0,1,4,0,6,0,0,22,0
258,815000,1990,1927,0,3,98105,1010,400,0,0,0,5,0,0,2,3,0,7,6,2,25,2
259,299000,1120,1944,0,2,98188,390,0,0,0,0,5,0,0,1,3,0,7,0,2,23,0
260,497900,1800,1958,0,3,98155,0,0,0,0,0,5,1,0,1,3,330,7,0,2,26,0
261,1075000,2440,1987,0,4,98006,0,0,0,0,0,5,1,0,2,3,820,9,0,0,24,0
262,595000,1540,1963,0,3,98034,0,0,0,0,0,5,0,1,1,5,550,7,0,2,26,2
263,525000,1650,1997,0,3,98198,0,0,0,0,340,5,1,0,2,4,510,8,0,0,22,0
264,634122,2490,1977,0,3,98019,0,0,200,0,0,7,0,0,2,4,0,7,0,2,26,0
265,600000,1350,1938,0,4,98125,0,0,0,0,140,4,0,0,1,4,0,6,0,0,26,0
266,625000,1170,1928,1981,3,98115,730,400,0,0,260,5,0,0,1,3,0,7,6,0,26,0
267,418000,1500,1999,0,4,98001,0,0,60,0,0,5,1,1,1,3,380,7,0,2,21,0
268,390000,1540,1974,0,3,98022,0,0,0,0,0,4,0,1,1,4,0,7,0,2,20,0
269,485000,2680,1918,1946,5,98106,1400,700,0,0,0,5,0,1,1,3,0,7,7,2,24,2
270,462000,1500,1968,0,3,98055,640,290,0,0,200,5,1,1,1,4,130,7,7,0,23,0
271,885000,2290,1975,0,4,98052,1180,880,60,0,130,5,0,2,1,4,200,8,8,2,25,0
